dd0 Cell Density,dd0-dd1 Cell Density Gradient,dd1 Cell Density,dd1-dd2 Cell Density Gradient,dd2 Cell Density,dd2-dd3 Cell Density Gradient,dd3 Cell Density ,dd3-dd5 Cell Density Gradient,dd5 Cell Density,dd5-dd7 Cell Density Gradient,dd7 Cell Density,dd0 Aggregate Size,dd0-dd1 Aggregate Size Gradient,dd1 Aggregate Size ,dd1-dd2 Aggregate Size Gradient,dd2 Aggregate Size ,dd2-dd3 Aggregate Size Gradient,dd3 Aggregate Size ,dd3-dd5 Aggregate Size Gradient,dd5 Aggregate Size ,dd7 Aggregate Size ,dd5-dd7 Aggregate Size Gradient,Preculture Time [h],Start Preculture Perfusion [h after inoc] d1-d2,Presence of  IWP2 [h],Average DO concentration d0,Average DO concentration d1,Average DO concentration dd0,Average DO concentration dd1,Average DO concentration dd2,Average DO concentration dd3,Average DO concentration dd4,Average DO concentration dd5,Average DO concentration dd6,Average DO concentration dd7,Average DO concentration gradient d0,Average DO concentration gradient d1,Average DO concentration gradient dd0,Average DO concentration gradient dd1,Average DO concentration gradient dd2,Average DO concentration gradient dd3,Average DO concentration gradient dd4,Average DO concentration gradient dd5,Average DO concentration gradient dd6,Average DO concentration gradient dd7,DO concentration/cell count dd0,DO concentration/cell count dd1,DO concentration/cell count dd2,DO concentration/cell count dd3,DO concentration/cell count dd5,DO concentration/cell count dd7,DO gradient/cell count dd0,DO gradient/cell count dd1,DO gradient/cell count dd2,DO gradient/cell count dd3,DO gradient/cell count dd5,DO gradient/cell count dd7,dd0 Average of 2nd derivative DO,dd1 Average of 2nd derivative DO,dd2 Average of 2nd derivative DO,dd3 Average of 2nd derivative DO,dd5 Average of 2nd derivative DO,dd7 Average of 2nd derivative DO,dd0 DO 2nd derivative/cell count,dd1 DO 2nd derivative/cell count,dd2 DO 2nd derivative/cell count,dd3 DO 2nd derivative/cell count,dd5 DO 2nd derivative/cell count,dd7 DO 2nd derivative/cell count,Overall Average pH,Overall density gradient,Overall aggregate size gradient,d0 Average pH,d0 Average pH Gradient,d1 Average pH,d1 Average pH Gradient,dd0 Average pH,dd0 Average pH Gradient,dd1 Average pH,dd1 Average pH Gradient,dd2 Average pH,dd2 Average pH Gradient,dd3 Average pH,dd3 Average pH Gradient,dd4 Average pH,dd4 Average pH Gradient,dd5 Average pH,dd5 Average pH Gradient,dd6 Average pH,dd6 Average pH Gradient,dd7 Average pH,dd7 Average pH Gradient,dd0 Lactate Concentration,dd1 Lactate Concentration,dd3 Lactate Concentration,dd5 Lactate Concentration,dd7 Lactate Concentration,dd0 Glucose Concentration,dd1 Glucose Concentration,dd3 Glucose Concentration,dd5 Glucose Concentration,dd7 Glucose Concentration,dd10 CM Content
0.65,0.376923077,0.895,0.184357542,1.06,1.301886792,2.44,-0.131147541,2.12,0.316037736,2.79,118.1951747,0.201911142,142.0600973,0.093150465,155.2930615,0.086646266,168.7486253,0.046590444,176.6106987,233.156044,0.320169422,48,25,48,85.71523288,63.24320588,66.71009524,51.63123699,28.00881818,60.06711696,20.39292105,13.62351111,8.5168,11.41755,-5.017134631,-0.973529264,-13.02282211,-16.64070296,3.343417771,-18.3043099,0.025333057,-0.835719833,-0.297143208,0.602861185,102.6309158,57.68853295,26.42341338,24.61767088,6.426184486,4.092311828,-20.03511094,-18.5929642,3.154167709,-7.501766353,-0.394207468,0.216079278,-4.596089161,-3.807725784,51.79999163,-40.89226988,-4.369020114,2.032590104,-7.070906401,-4.254442217,48.86791663,-16.759127,-2.060858544,0.728526919,6.969245966,3.292307692,0.972635894,7.128310345,-0.021810791,6.9595,-0.002875,6.876628571,-0.068757003,7.039117647,-0.063414365,6.573071429,-0.015435714,7.125433333,-0.035415656,7.0354,0.00236,7.01704,-0.003,6.971,-0.001567273,6.966958333,0.000833333,13.1,13.2,16.1,10,11.6,11.3,5.7,0.3,4.7,2.3,88
0.43,0.651162791,0.71,0.887323944,1.34,1.074626866,2.78,-0.532374101,1.3,0.4,1.82,96.34711,0.478343564,142.43413,0.192729552,169.885396,0.384388594,235.1874045,-0.129821075,204.6551228,155.0354536,-0.242455056,48,25,48,89.14285714,80.34778571,78.97483942,71.20963964,62.23131325,74.99361789,73.62188889,60.80692105,80.19058209,68.84264423,-4.336988756,-8.080484793,-17.8607415,-9.30349686,-4.593178777,-19.92342562,-20.50907676,-5.422830627,-30.13367821,-15.37375725,183.6624172,100.2952671,46.44127855,26.97612154,46.77455466,37.8256287,-41.53660814,-13.1035167,-3.427745356,-7.166699865,-4.171408174,-8.447119366,82.5217635,1.590650742,-104.2754818,31.46271633,-17.94900987,12.6817645,191.9110779,2.240353158,-77.81752374,11.31752386,-13.80693067,6.96800247,6.998924587,3.23255814,0.609134447,7.126193548,-0.044053662,6.307214286,-0.001954615,7.193866667,-0.015359992,7.195935484,-0.017241241,6.896666667,0.014099081,7.286653846,-0.005741441,6.728393939,-0.020575497,7.101678571,-0.011983598,7.005,-0.028174072,7.147642857,-0.013518637,13,13.4,16.5,12.6,14.6,11.5,6.2,0.6,2.7,0.7,80
0.68,0.470588235,1,0.79,1.79,0.446927374,2.59,-0.254826255,1.93,0,1.93,99.41592174,0.565532722,155.6388785,0.004030078,156.2661153,0.126859675,176.089984,0.181257782,208.007664,204.4359937,-0.017170859,48,25,48,97.7672875,74.12618841,80.23900704,70.49652907,42.25569231,73.66026923,28.65960377,22.21535,21.87621951,25.74475,-7.093491506,-1.129342665,-12.51638701,-15.65728215,1.636482259,-16.84111417,-0.372757304,-0.398241812,0.580066385,0.000457841,117.9985398,70.49652907,23.60653202,28.44025839,11.51054404,13.3392487,-18.40645148,-15.65728215,0.914235899,-6.502360682,-0.206342908,0.000237223,48.97729465,-4.880352507,-2.50253596,-40.8545119,-2.97924769,-0.119373186,72.02543332,-4.880352507,-1.398064782,-15.77394282,-1.543651653,-0.061851392,6.961068384,1.838235294,1.056370751,6.99916129,-0.013501745,6.9676,-0.002700762,7.069447368,-0.077027183,6.686285714,-0.02616267,6.815392857,-0.005486417,6.700451613,-0.010756061,7.061375,0.000333287,7.06525,0.00045853,7.09836,0.002357614,7.14736,0.00152138,12,12.2,16,11.7,10.4,12.4,5.9,1,3.8,3.4,92
0.78,0.166666667,0.91,0.43956044,1.31,0.538167939,2.015,-0.136476427,1.74,0.172413793,2.04,115.5035873,0.21531524,140.37327,0.086154688,152.4670853,0.036795248,158.0771496,0.058739291,167.3624893,202.2504573,0.208457511,48,25,48,81.65019672,62.34353994,63.39714428,47.07061836,49.51319303,56.2089225,49.62889189,48.35557545,28.58268421,30.45991367,-1.350149933,-0.614488872,-4.615646951,-6.38953193,-0.42795887,-5.555962439,-0.832689107,-3.802325273,0.020761486,-6.640204196,81.2783901,51.72595424,37.79633056,27.8952469,27.7905606,14.93133023,-5.917496092,-7.021463659,-0.32668616,-2.757301459,-2.18524441,-3.255002057,-9.958576654,-5.393976554,0.119490977,-9.441916392,-0.342625497,-5.845485319,-12.76740597,-5.927446763,0.091214486,-4.685814587,-0.196911205,-2.86543398,7.034942325,1.615384615,0.751031825,7.342793872,-0.016916284,6.959352778,-0.001915284,7.107078431,-0.014712333,6.966362881,-0.020067183,6.788238227,-0.00606493,7.085520891,-0.008810781,6.953811111,-0.00228769,7.148141667,-0.010956086,6.908702778,-0.005623617,7.089420613,-0.017252453,13.6,12.1,16.5,10.1,8.9,11.6,4.8,0.3,4.7,4.1,76
0.575,0.295652174,0.745,1.456375839,1.83,0.256830601,2.3,-0.639130435,0.83,0.445783133,1.2,105.7786707,0.172224916,123.9963933,0.170517099,145.1398987,0.023702304,148.5800487,-0.056073832,140.248596,143.13087,0.020551179,48,25,48,102.6132364,76.28040379,91.81144472,79.83587711,78.34089737,99.81676617,113.9059725,110.9396482,105.7760973,107.7938,-0.564854372,-1.835248484,-2.548137495,-3.314019271,1.260202317,0.316713725,0.480584167,0.012531417,-0.277388186,-0.61944535,159.6720778,107.1622512,42.80923353,43.39859399,133.6622268,89.82816667,-4.431543469,-4.448348014,0.688635146,0.13770162,0.015098093,-0.516204459,-30.13722379,26.72446736,13.23926821,8.308125406,38.46679178,-18.58230076,-52.41256311,35.87176827,7.234572794,3.612228437,46.34553227,-15.48525064,7.180312539,1.086956522,0.353116551,7.191490251,-0.024116902,6.988172222,-0.001081729,7.166661111,-0.023842517,7.219875346,-0.024052061,6.953258333,-0.006456368,7.253473684,0.012959831,7.199777778,-0.003873926,7.3508,-0.021620137,7.244361111,-0.004539112,7.235255556,-0.005793719,14,12.3,17.1,11.6,11.8,10.6,5.7,1.3,4.9,5.3,21
0.71,-0.021126761,0.695,1.413669065,1.6775,0.335320417,2.24,-0.78125,0.49,0.744897959,0.855,115.3715773,0.171699175,135.180782,0.149705923,155.4181457,0.214267355,188.7191807,-0.139398408,162.4120273,123.086972,-0.242131423,48,25,48,80.2313125,56.14698615,72.14956281,57.22333671,37.13813333,69.53106045,67.56144444,68.10465289,66.85443611,68.9549116,-3.239285853,-0.961221624,-4.406611808,-4.91917864,0.240531114,-3.641335089,-0.139873491,0.074678768,-0.069102791,-0.024433421,101.6191026,82.33573627,22.13897665,31.04065199,138.9890875,80.64901942,-6.206495505,-7.077954877,0.143386655,-1.625596022,0.152405649,-0.028577101,0.910801634,-11.4376708,0.040928608,2.158597274,5.64074811,1.572922747,1.282819203,-16.45708028,0.024398574,0.963659497,11.51173084,1.839675727,7.223343053,0.204225352,0.06687431,7.163520891,-0.019312104,6.928030556,-0.002207963,7.240844444,-0.008441771,7.162630556,-0.013995988,6.977983333,-0.005998321,7.346734637,-0.00561184,7.332708333,0.00066651,7.342222222,0.000749931,7.365436111,0.00070804,7.373319444,0.000292697,14.8,11.1,16.2,5.9,5.9,10.2,6.2,1.9,8.1,8.7,24
0.535,0.303738318,0.6975,1.709677419,1.89,0.17989418,2.23,-0.591928251,0.91,0.769230769,1.61,104.50255,0.150396515,120.2193693,0.221247597,146.8176159,0.059959441,155.620718,0.050850646,163.534132,159.0310387,-0.027536107,48,25,48,85.56555612,69.62471467,75.49639709,53.43622837,39.0241708,61.07860811,69.60569761,80.89201651,67.86441783,92.44169431,-3.64815213,-2.00407393,-6.941646344,-6.766007803,0.263902794,-8.022314653,0.769825297,-7.725738923,0.083412973,-7.738517522,141.1147609,76.61108009,20.64770942,27.38951036,88.89232583,57.41720144,-12.97503989,-9.70036961,0.139631108,-3.597450517,-8.489822992,-4.806532622,2.208687191,1.520939684,6.704877868,6.357411808,-16.46875339,-28.55189006,4.128387272,2.180558687,3.547554427,2.850857313,-18.0975312,-17.7340932,7.18360653,2.009345794,0.521790987,7.148796657,-0.016875398,6.959790055,0.01401617,7.22472067,-0.004649587,7.194155556,-0.016745633,6.895855956,-0.004694216,7.303409471,-0.004845402,7.181571031,-0.00421856,7.329562327,0.003987977,7.2583,-0.004414926,7.339903581,0.011826002,14.4,11.6,17,13.3,11.7,11.1,5.3,0.8,4.2,4.9,42
0.56,0.625,0.91,1.184065934,1.9875,0.122012579,2.23,-0.282511211,1.6,0.79375,2.87,97.24919867,0.204072372,117.0950733,0.090398499,127.6802922,0.110440843,141.7814113,-0.002534705,141.4220373,196.4052347,0.388788044,48,25,48,82.79492188,57.79683056,64.07557761,38.28305679,33.00028611,49.88185086,24.1826547,15.48054201,13.47286389,19.4955252,-3.315869423,-1.252067686,-4.399168503,-5.755991045,0.747644609,-5.636788469,-0.171326102,-0.862532191,-0.052082638,-1.530122946,114.4206743,42.06929318,16.60391754,22.36854298,9.675338753,6.792865923,-7.855658042,-6.325264885,0.376173388,-2.527707834,-0.539082619,-0.533143884,2.839375732,-5.638753049,-0.123669883,1.953931599,-1.175791445,-4.561763425,5.070313807,-6.196431922,-0.062223841,0.876202511,-0.734869653,-1.589464608,7.072317289,4.125,1.019607743,7.139162011,-0.014954088,6.974008333,-0.000916634,7.173091667,-0.022314026,7.14224234,-0.026524758,6.918847222,-0.003165949,7.213619444,-0.013994716,7.112674095,0.000459125,7.051691667,-0.004748405,6.997063889,-0.000666247,7.000772222,0.001286681,14.5,13.2,17.6,12.1,14.9,11,4.7,0.6,4.7,2.2,80
0.73,0.684931507,1.23,0.430894309,1.76,0.153409091,2.03,0.256157635,2.55,-0.164705882,2.13,126.262608,0.217994885,153.7872107,0.089083858,167.4871687,0.053027975,176.368674,0.232867605,217.4392247,256.83762,0.181192678,48,25,48,71.9294817,44.33612058,40.19673486,25.86232129,18.84410015,39.60641097,25.62216407,15.21722698,23.74196131,27.74515165,-7.951396748,-3.632798584,-7.424659118,-6.723601798,-1.799890647,-4.350136823,-4.828554885,-0.879756976,-4.452938811,-1.326586299,55.06402036,21.02627747,10.70687509,19.51054728,5.967539991,13.02589279,-10.17076592,-5.466342925,-1.02266514,-2.142924543,-0.345002736,-0.622810469,-92.2042958,-12.62839613,-4.64585949,-7.443980529,-9.56576941,4.040723365,-126.3072545,-10.26698873,-2.639692892,-3.666985482,-3.751282122,1.897053223,7.011381498,1.917808219,1.034154245,7.174573816,-0.015998912,6.864639889,-0.005940097,7.177980556,-0.01762025,7.032615599,-0.022473416,6.829662953,-0.002047256,7.140727778,-0.010454739,6.96986351,-0.007602789,6.971536111,-0.0156207,6.78668144,-0.006506413,7.165533333,-0.007415363,14.5,14.2,16.4,15.3,16.7,9,3.9,0,2.3,0,92
0.63,-0.206349206,0.5,0.02,0.51,0.882352941,0.96,-0.1875,0.78,0.115384615,0.87,126.049922,0.489067758,187.6968748,-0.209928142,148.2940187,0.665920166,247.0459962,0.204823786,297.6468925,192.875735,-0.351998157,48,25,48,72.1864475,42.59703022,54.71535023,59.25531368,53.5385097,72.2776409,68.81413716,55.45839554,52.14263145,39.52425067,-4.39980878,-1.180021128,-5.278452862,-5.890861769,-0.100040762,-4.850835602,-4.791220997,-1.259111944,-6.379033541,-1.623985904,86.84976227,118.5106274,104.97747,75.28920927,71.10050711,45.43017319,-8.378496606,-11.78172354,-0.196158356,-5.052953752,-1.614246082,-1.866650464,3.91599967,1.711217147,4.604269396,2.672814506,0.432148582,-4.337574772,6.215872492,3.422434295,9.027979207,2.784181777,0.554036644,-4.985718129,7.09756661,0.380952381,0.530153545,7.15337883,-0.013951553,6.941119444,-0.003040807,7.138094708,-0.012739935,7.177963889,-0.018869128,6.974866667,-0.007247579,7.224298883,-0.001591887,6.991183333,-0.001999798,7.162461111,-0.007622641,7.039863128,-0.019058706,7.172436111,-0.009455719,14.1,11.9,16.2,12.2,13.4,9.5,5.3,2.3,4.8,3.1,74
